121,Gorgui Dieng,C,33,SAS,3.9,3.5,1.7,0.5,0.1
1,Precious Achiuwa,C,23,TOR,9.2,6,0.9,0.5,0.6
41,Khem Birch,C,30,TOR,2.2,1.3,0.4,0.3,0.3
272,Christian Koloko,C,22,TOR,3.1,2.9,0.5,1,0.4
442,Pascal Siakam,C,28,TOR,24.2,7.8,5.8,0.5,0.9
22,Mo Bamba,C,24,TOT,5.9,4.6,0.8,0.8,0.2
42,Goga Bitadze,C,23,TOT,4.5,3.7,1,0.7,0.4
66,Moses Brown,C,23,TOT,3,2.7,0.1,0.3,0.2
70,Thomas Bryant,C,25,TOT,8.8,5.3,0.4,0.5,0.2
115,Dewayne Dedmon,C,33,TOT,4.8,3.4,0.8,0.5,0.2
145,Bruno Fernando,C,24,TOT,3.8,3.1,0.6,0.8,0.1
251,Damian Jones,C,27,TOT,3.5,3,0.4,0.5,0.2
262,Frank Kaminsky,C,29,TOT,2.3,1.5,0.9,0.1,0.2
303,Sandro Mamukelashvili,C,23,TOT,6.4,4.5,1.5,0.3,0.3
354,Mike Muscala,C,31,TOT,6.1,3.2,0.8,0.4,0.2
363,Nerlens Noel,C,28,TOT,1.8,2.8,0.7,0.5,0.9
385,Mason Plumlee,C,32,TOT,10.2,8.5,2.8,0.6,0.6
386,Jakob Poeltl,C,27,TOT,12.6,9.1,2.7,1.2,1
530,James Wiseman,C,21,TOT,9.9,5.8,0.7,0.6,0.2
18,Udoka Azubuike,C,23,UTA,3.5,3.3,0.3,0.4,0.2
265,Walker Kessler,C,21,UTA,9.2,8.4,0.9,2.3,0.4
376,Kelly Olynyk,C,31,UTA,12.5,6.2,3.7,0.5,0.9
82,Vernon Carey Jr.,C,21,WAS,0.5,1,0.3,0.2,0.2
156,Daniel Gafford,C,24,WAS,9,5.6,1.1,1.3,0.4
162,Taj Gibson,C,37,WAS,3.4,1.9,0.7,0.2,0.3
223,Jay Huff,C,24,WAS,7.3,3,1.4,0.6,0.4
393,Kristaps Porzi??is,C,27,WAS,23.2,8.4,2.7,1.5,0.9
96,John Collins,PF,25,ATL,13.1,6.5,1.2,1,0.6
202,Sam Hauser,PF,25,BOS,6.4,2.6,0.9,0.3,0.4
261,Mfiondu Kabengele,PF,25,BOS,1.5,2.5,0,0,0.5
465,Jayson Tatum,PF,24,BOS,30.1,8.8,4.6,0.7,1.1
517,Grant Williams,PF,24,BOS,8.1,4.6,1.7,0.4,0.5
173,RaiQuan Gray,PF,23,BRK,16,9,7,1,0
523,Patrick Williams,PF,21,CHI,10.2,4,1.2,0.9,0.9
472,JT Thor,PF,20,CHO,3.8,2.2,0.5,0.3,0.3
500,P.J. Washington,PF,24,CHO,15.7,4.9,2.4,1.1,0.9
119,Mamadi Diakite,PF,26,CLE,2.6,1.4,0.4,0.4,0.2
339,Evan Mobley,PF,21,CLE,16.2,9,2.8,1.5,0.8
340,Isaiah Mobley,PF,23,CLE,2.4,1.5,0.2,0.2,0.3
458,Lamar Stevens,PF,25,CLE,5.3,3.3,0.5,0.3,0.4
490,Dean Wade,PF,26,CLE,4.7,3.4,0.8,0.5,0.6
38,D?vis Bert?ns,PF,30,DAL,4.6,1.2,0.5,0.2,0.2
443,Chris Silva,PF,26,DAL,2,0,0,0,0
80,Vlatko ?an?ar,PF,25,DEN,5,2.1,1.3,0.2,0.4
169,Aaron Gordon,PF,27,DEN,16.3,6.6,3,0.8,0.8
180,Jeff Green,PF,36,DEN,7.8,2.6,1.2,0.3,0.3
362,Zeke Nnaji,PF,22,DEN,5.2,2.6,0.3,0.4,0.3
46,Bojan Bogdanovi?,PF,33,DET,21.6,3.8,2.6,0.1,0.6
294,Isaiah Livers,PF,24,DET,6.7,2.8,0.8,0.5,0.5
176,Draymond Green,PF,32,GSW,8.5,7.2,6.8,0.8,1
178,JaMychal Green,PF,32,GSW,6.4,3.6,0.9,0.4,0.4
277,Jonathan Kuminga,PF,20,GSW,9.9,3.4,1.9,0.5,0.6
114,Darius Days,PF,23,HOU,3.8,1.5,0.3,0.3,0
139,Tari Eason,PF,21,HOU,9.3,6,1.1,0.6,1.2
