Rk;Player;Pos;Age;Tm;PTS;TRB;AST;BLK;STL
60;Malcolm Brogdon;PG;30;BOS;14.9;4.2;3.7;0.3;0.7
61;Dillon Brooks;SF;27;MEM;14.3;3.3;2.6;0.2;0.9
62;Bruce Brown;SG;26;DEN;11.5;4.1;3.4;0.6;1.1
63;Greg Brown III;PF;21;POR;1.8;1.2;0.2;0.3;0.3
64;Jaylen Brown;SF;26;BOS;26.6;6.9;3.5;0.4;1.1
65;Kendall Brown;SG;19;IND;1.5;1;0.5;0;0.7
66;Moses Brown;C;23;TOT;4.3;3.9;0.1;0.4;0.1
66;Moses Brown;C;23;LAC;4.6;4.1;0.1;0.4;0.1
66;Moses Brown;C;23;BRK;0;0;0;0;0.5
67;Sterling Brown;SG;27;LAL;0;2;0.5;0;0.8
68;Troy Brown Jr.;SF;23;LAL;7.1;4.1;1.3;0.2;0.8
69;Jalen Brunson;PG;26;NYK;24;3.5;6.2;0.2;0.9
70;Thomas Bryant;C;25;TOT;9.8;5.7;0.5;0.5;0.3
70;Thomas Bryant;C;25;LAL;12.1;6.8;0.7;0.6;0.3
70;Thomas Bryant;C;25;DEN;4.6;3.3;0.1;0.4;0.1
71;Reggie Bullock;SF;31;DAL;7.2;3.6;1.4;0.2;0.7
72;Alec Burks;SG;31;DET;12.8;3.1;2.2;0.2;0.7
73;Deonte Burton;SG;29;SAC;0;0;0;0;0
74;Jared Butler;SG;22;OKC;6.2;0.7;1.3;0;0.8
75;Jimmy Butler;SF;33;MIA;22.9;5.9;5.3;0.3;1.8
76;John Butler;C;20;POR;2.4;0.9;0.6;0.5;0.4
77;Jamal Cain;SF;23;MIA;5.4;2.9;0.7;0.1;0.6
78;Kentavious Caldwell-Pope;SG;29;DEN;10.8;2.7;2.4;0.5;1.5
79;Facundo Campazzo;PG;31;DAL;1.3;0.3;1.1;0;0.8
80;Vlatko ?an?ar;PF;25;DEN;5;2.1;1.3;0.2;0.4
81;Clint Capela;C;28;ATL;12;11;0.9;1.2;0.7
82;Vernon Carey Jr.;C;21;WAS;0.5;1;0.3;0.2;0.2
83;Jevon Carter;PG;27;MIL;8;2.5;2.4;0.4;0.8
84;Wendell Carter Jr.;C;23;ORL;15.2;8.7;2.3;0.6;0.5
85;Michael Carter-Williams;PG;31;ORL;4.3;1.3;1.8;0.3;0.3
86;Alex Caruso;PG;28;CHI;5.6;2.9;2.9;0.7;1.5
87;Julian Champagnie;SF;21;TOT;9.7;3.5;0.6;0.3;0.4
87;Julian Champagnie;SF;21;PHI;0;0;0;0;0.5
